"age" "gender" "routine" "control" "time"
"1" 18 "F" 1 "T" 1.36007516082989
"2" 24 "M" 2 "T" 1.46793926451497
"3" 23 "M" 2 "T" 1.51203577079852
"4" 18 "F" 1 "T" 1.39064698511248
"5" 18 "M" 1 "T" 1.38420796553537
"6" 19 "M" 1 "C" 1.39387514659079
"7" 19 "M" 1 "T" 1.4190429016653
"8" 18 "F" 1 "T" 1.46118691161318
"9" 19 "F" 1 "T" 1.38246093101882
"10" 19 "M" 1 "C" 1.26015181574544
"11" 20 "M" 1 "T" 1.29291651498347
"12" 18 "F" 1 "T" 1.33109203336538
"13" 22 "M" 1 "T" 1.36917068493201
"14" 18 "F" 1 "C" 1.33047050936775
"15" 19 "F" 1 "T" 1.34450593198899
"16" 18 "M" 1 "C" 1.35786910755937
"17" 20 "F" 1 "T" 1.5202444746304
"18" 21 "M" 1 "T" 1.35239720135104
"19" 18 "F" 1 "T" 1.34842042185113
"20" 19 "F" 1 "T" 1.37300033908173
"21" 26 "M" 1 "C" 1.30681250339675
"22" 28 "F" 1 "C" 1.3841919670845
"23" 30 "M" 2 "T" 1.34564309002793
"24" 32 "M" 1 "C" 1.5949012551549
"25" 34 "M" 3 "T" 1.3419719608626
"26" 32 "F" 2 "T" 1.47221158862326
"27" 30 "F" 1 "T" 1.44068494526369
"28" 70 "M" 1 "T" 1.50275742337737
"29" 69 "F" 1 "T" 1.50154112048402
"30" 43 "F" 2 "T" 1.56281309654974
"31" 53 "F" 1 "C" 1.47585109185953
"32" 53 "F" 1 "T" 1.47545552911086
"33" 26 "M" 2 "C" 1.31237552383618
"34" 34 "F" 3 "T" 1.4471601062916
"35" 43 "M" 1 "T" 1.46311793810177
"36" 27 "M" 2 "C" 1.29342524825963
"37" 65 "F" 3 "C" 1.4028597654443
"38" 29 "M" 3 "C" 1.24549747982726
"39" 64 "F" 2 "T" 1.47580641092096
"40" 45 "M" 2 "T" 1.52010552757513
"41" 42 "F" 1 "T" 1.43707931904797
"42" 52 "F" 1 "C" 1.58361040318297
"43" 32 "F" 2 "T" 1.49924646115717
"44" 37 "M" 1 "C" 1.43670132756475
"45" 41 "F" 1 "T" 1.52405555359857
"46" 64 "F" 1 "T" 1.51092884296659
"47" 68 "F" 1 "C" 1.52256305554873
"48" 53 "M" 2 "C" 1.46241228593224
"49" 27 "F" 3 "C" 1.31393512977287
"50" 67 "F" 3 "T" 1.44038240637648
"51" 43 "M" 2 "T" 1.4445034714597
"52" 32 "F" 2 "C" 1.31695557241702
"53" 39 "M" 1 "T" 1.51743517262991
"54" 40 "M" 2 "T" 1.53644567779342
"55" 50 "M" 2 "T" 1.44486464490253
"56" 60 "M" 2 "C" 1.44259920088304
"57" 40 "M" 1 "C" 1.35520628558141
"58" 68 "F" 2 "T" 1.61497948629694
"59" 65 "M" 2 "T" 1.52769852391707
"60" 63 "M" 1 "T" 1.46659060353493
